Shipment#,IndexDate,Month,Year,Date(Period),CarrierRef,EnglishOrigin,EnglishDestination,Route,GCD,CO2,CO2Metric,Density,CDCTrafficRating,CDCDensityRating,CDCEfficiencyRating,RDCTrafficRating,RDCDensityRating,RDCEfficiencyRating,RouteTrafficRating,RouteDensityRating,RouteEfficiencyRating
94,04-18-2013,4,2013,Apr-13,Carrier08,Chengdu CDC,Hangzhou RDC,"Chengdu CDC , Hangzhou RDC",1549.2,546.2705159,0.137112355,289.6733499,2,3,3,4,3,3,2,3,5
95,04-18-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Hohhot RDC,"Shenzhen CDC , Hohhot RDC",2020.550997,144.03,0.908810307,173.7209302,2,3,4,4,3,3,1,1,3
96,04-18-2013,4,2013,Apr-13,Carrier02,Chengdu CDC,Shenyang RDC,"Chengdu CDC , Shenyang RDC",2141.2,32.29456801,0.035808315,283.0645161,2,3,3,2,2,5,1,3,5
97,04-18-2013,4,2013,Apr-13,Carrier02,Beijing CDC,Kunming RDC,"Beijing CDC , Kunming RDC",2096,406.7218123,0.082567428,131.5363519,3,3,5,4,3,3,2,1,5
98,04-18-2013,4,2013,Apr-13,Carrier08,Huiyang CDC,Taiyuan RDC,"Huiyang CDC , Taiyuan RDC",1662.4,14.82920488,0.211935354,176.1087866,4,1,2,2,2,5,2,1,4
99,04-18-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,215.2781771,0.36787475,129.2713069,4,1,2,4,4,5,5,1,3
100,04-19-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Shijiazhuang RDC,"Shanghai CDC , Shijiazhuang RDC",1002.8,32.6884398,0.188641017,198.1651376,5,4,3,2,2,5,2,2,4
101,04-19-2013,4,2013,Apr-13,Carrier07,Chengdu CDC,Guiyang RDC,"Chengdu CDC , Guiyang RDC",547.7,1056.901882,0.292122802,145.7111724,2,3,3,4,4,5,2,1,4
102,04-19-2013,4,2013,Apr-13,Carrier08,Chengdu CDC,Beijing RDC,"Chengdu CDC , Beijing RDC",1518.7,556.1952836,0.131171624,290.8333333,2,3,3,4,4,5,2,3,5
103,04-19-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Beijing RDC,"Shanghai CDC , Beijing RDC",1091.2,728.9668584,0.143232057,253.0546362,5,4,3,4,4,5,4,2,5
104,04-19-2013,4,2013,Apr-13,Carrier08,Huiyang CDC,Xian RDC,"Huiyang CDC , Xian RDC",1383.2,12.89550209,0.228924452,183.4459459,4,1,2,2,2,5,2,1,4
105,04-19-2013,4,2013,Apr-13,Carrier08,Hefei CDC,Taiyuan RDC,"Hefei CDC , Taiyuan RDC",788.7,78.13347457,0.160821676,249.1909385,1,5,1,2,2,5,1,3,3
106,04-20-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Nanjing RDC,"Shanghai CDC , Nanjing RDC",278.7,2.34890954,0.309401361,120.5309735,5,4,3,2,2,2,5,1,4
107,04-20-2013,4,2013,Apr-13,Carrier12,Shanghai CDC,Qingdao RDC,"Shanghai CDC , Qingdao RDC",742.2,754.6630881,0.186174647,202.7582418,5,4,3,2,2,2,2,2,5
108,04-20-2013,4,2013,Apr-13,Carrier08,Chengdu CDC,Zhengzhou RDC,"Chengdu CDC , Zhengzhou RDC",1030.4,158.3006349,0.125412469,301.7241379,2,3,3,2,2,5,1,3,5
109,04-20-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Beijing RDC,"Shenzhen CDC , Beijing RDC",1941.7,17.343391,0.119861315,304.1632653,2,3,4,4,4,5,3,2,4
110,04-20-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Guangzhou RDC,"Shenzhen CDC , Guangzhou RDC",52.1,0.039959208,0.185258783,295.7142857,2,3,4,4,4,5,2,2,4
111,04-20-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,109.9611529,0.345673939,138.0674674,4,1,2,4,4,5,5,1,3
